listing_id,title,description,property_type,area,lat,lon,bedrooms,size_sqft,furnished,building_age_years,floor,price_aed_month,agent_name,listed_date,status,is_suspicious_truth,dup_group_truth
1899,Best Deal! Villa in Jumeirah Village Circle,"Built-in wardrobes throughout. Landlord maintained, no agency fees. Available for immediate move-in.",Villa,Jumeirah Village Circle,25.07689,55.20248,5,3627,1,15,0,22000,Daniel Reyes,2026-04-04,active,0,1899
1225,3BR Apartment for Rent in Al Furjan - Prime Location,Close to metro station and community mall. Covered parking included. Near international schools. Recently renovated kitchen and bathrooms.,3BR Apartment,Al Furjan,25.04065,55.14754,4,1459,0,16,39,8000,Hassan Ali,2026-04-22,active,0,1225
1813,Villa with Full Amenities - Downtown Dubai,Covered parking included. Available for immediate move-in.,Villa,Downtown Dubai,25.20034,55.26542,6,4609,1,18,0,51000,Elena Popescu,2026-03-28,active,0,1813
853,2BR Apartment with Full Amenities - Dubai Marina,"Landlord maintained, no agency fees. Balcony with community view.",2BR Apartment,Dubai Marina,25.07231,55.1452,3,1139,1,7,32,12000,Michael Costa,2026-08-06,active,0,853
1780,Exclusive 1BR Apartment in Discovery Gardens | High Floor,Recently renovated kitchen and bathrooms. Available for immediate move-in.,1BR Apartment,Discovery Gardens,25.04518,55.13938,1,844,0,2,27,4500,Michael Costa,2026-08-09,active,0,1780
2246,"Hot Deal - 2BR Apartment in Business Bay, Call Now","Close to metro station and community mall. Shared pool and gym access. Covered parking included. Landlord maintained, no agency fees.",2BR Apartment,Business Bay,25.19715,55.24816,3,957,1,22,42,8500,Ravi Shankar,2026-01-29,active,0,1174
1509,"Upgraded 2BR Apartment in Jumeirah Lake Towers, Motivated Seller","Landlord maintained, no agency fees. Near international schools.",2BR Apartment,Jumeirah Lake Towers,25.06626,55.13495,2,1036,1,17,18,7250,Grace Okafor,2026-08-03,active,0,1509
1282,Best Deal! 1BR Apartment in Jumeirah Village Circle,Available for immediate move-in. Covered parking included. Recently renovated kitchen and bathrooms. Pet friendly building.,1BR Apartment,Jumeirah Village Circle,25.08205,55.20442,1,780,0,1,34,5000,Daniel Reyes,2026-01-25,active,0,1282
422,Chiller Free 2BR Apartment in Arabian Ranches,"Recently renovated kitchen and bathrooms. Landlord maintained, no agency fees. Available for immediate move-in.",2BR Apartment,Arabian Ranches,25.06738,55.2475,2,1343,1,17,18,9750,Elena Popescu,2026-01-13,active,0,422
671,Stunning Studio | Jumeirah Lake Towers | Vacant Soon,"Landlord maintained, no agency fees. Available for immediate move-in. Covered parking included.",Studio,Jumeirah Lake Towers,25.09187,55.1458,0,439,0,16,7,3000,Priya Nair,2026-01-08,active,0,671
437,Spacious Studio in Business Bay | Ready to Move,"Shared pool and gym access. Balcony with community view. Landlord maintained, no agency fees.",Studio,Business Bay,25.1634,55.2645,0,450,0,7,38,3500,Yusuf Karimi,2026-01-12,active,0,437
865,Best Deal! Townhouse in Dubai Marina,Available for immediate move-in. Near international schools. Recently renovated kitchen and bathrooms. Shared pool and gym access.,Townhouse,Dubai Marina,25.06724,55.16476,4,2550,0,20,0,22250,Ravi Shankar,2026-05-08,active,0,865
1537,Exclusive Townhouse in Dubai Sports City | High Floor,Near international schools. Pet friendly building.,Townhouse,Dubai Sports City,25.03568,55.23618,3,2232,1,4,0,8750,Anjali Menon,2026-05-17,active,0,1537
1452,Best Deal! Studio in Dubai Silicon Oasis,"Covered parking included. Close to metro station and community mall. Shared pool and gym access. Landlord maintained, no agency fees.",Studio,Dubai Silicon Oasis,25.14489,55.38753,0,468,0,7,5,2250,Sofia Marchetti,2026-06-24,active,0,1452
2154,Chiller Free 3BR Apartment in Downtown Dubai,Balcony with community view. Built-in wardrobes throughout. Pet friendly building.,3BR Apartment,Downtown Dubai,25.20816,55.29803,4,1688,0,13,31,20750,Michael Costa,2026-03-22,active,0,2154
2262,1BR Apartment in Discovery Gardens | Well Maintained,"Available for immediate move-in. Landlord maintained, no agency fees.",1BR Apartment,Discovery Gardens,25.04469,55.16794,2,791,0,1,39,4000,Michael Costa,2026-02-27,active,0,683
90,Best Deal! Studio in Dubai Silicon Oasis,"Built-in wardrobes throughout. Close to metro station and community mall. Landlord maintained, no agency fees.",Studio,Dubai Silicon Oasis,25.11206,55.39727,0,455,1,6,3,1750,Grace Okafor,2026-01-10,active,0,90
1349,Spacious 1BR Apartment in Dubai Marina | Ready to Move,"Pet friendly building. Landlord maintained, no agency fees. Available for immediate move-in. Near international schools.",1BR Apartment,Dubai Marina,25.05817,55.15942,1,855,0,14,8,6750,Omar Farouk,2026-06-04,active,0,1349
1441,Exclusive 3BR Apartment in Discovery Gardens | High Floor,Shared pool and gym access. Near international schools. Close to metro station and community mall.,3BR Apartment,Discovery Gardens,25.04516,55.15557,4,1523,0,18,41,7250,Anjali Menon,2026-07-17,active,0,1441
434,Chiller Free 1BR Apartment in Jumeirah Lake Towers,Shared pool and gym access. Pet friendly building. Balcony with community view.,1BR Apartment,Jumeirah Lake Towers,25.0824,55.14264,2,743,0,15,1,4500,Fatima Al-Suwaidi,2026-05-27,active,0,434
115,Best Deal! Studio in Downtown Dubai,Recently renovated kitchen and bathrooms. Pet friendly building.,Studio,Downtown Dubai,25.18754,55.26967,0,446,0,14,18,5250,Daniel Reyes,2026-06-17,active,0,115
1788,Best Deal! Villa in Jumeirah Village Circle,Recently renovated kitchen and bathrooms. Shared pool and gym access. Covered parking included.,Villa,Jumeirah Village Circle,25.06004,55.22547,5,4630,1,9,0,25250,Priya Nair,2026-05-30,active,0,1788
1295,2BR Apartment for Rent in Mirdif - Prime Location,Near international schools. Shared pool and gym access. Covered parking included.,2BR Apartment,Mirdif,25.23515,55.43222,3,1271,0,0,29,6000,Daniel Reyes,2026-06-28,active,0,1295
1606,Stunning Villa | Jumeirah Village Circle | Vacant Soon,Close to metro station and community mall. Shared pool and gym access. Balcony with community view. Pet friendly building.,Villa,Jumeirah Village Circle,25.04259,55.19589,6,3149,1,14,0,18750,Priya Nair,2026-04-18,active,0,1606
2003,Best Deal! 2BR Apartment in Mirdif,Near international schools. Covered parking included. Available for immediate move-in.,2BR Apartment,Mirdif,25.2328,55.44584,3,1250,1,16,9,5750,Ravi Shankar,2026-02-22,active,0,2003
2456,"Hot Deal - 2BR Apartment in Discovery Gardens, Call Now",Recently renovated kitchen and bathrooms. Available for immediate move-in.,2BR Apartment,Discovery Gardens,25.04014,55.15687,3,1062,0,8,24,5000,Fatima Al-Suwaidi,2026-02-12,active,0,1713
1721,Chiller Free 3BR Apartment in Mirdif,"Near international schools. Pet friendly building. Available for immediate move-in. Landlord maintained, no agency fees.",3BR Apartment,Mirdif,25.23711,55.40914,4,1671,0,22,41,6500,Yusuf Karimi,2026-02-25,active,0,1721
2219,Downtown Dubai 1BR Apartment - Negotiable Price,Built-in wardrobes throughout. Close to metro station and community mall.,1BR Apartment,Downtown Dubai,25.21805,55.27307,2,841,0,5,16,9500,Yusuf Karimi,2026-01-17,active,0,441
1731,Best Deal! 2BR Apartment in Dubai Silicon Oasis,"Shared pool and gym access. Landlord maintained, no agency fees. Pet friendly building.",2BR Apartment,Dubai Silicon Oasis,25.11737,55.36306,3,970,0,21,24,3000,Ravi Shankar,2026-07-19,active,0,1731
1775,Spacious Villa in Palm Jumeirah | Ready to Move,Pet friendly building. Balcony with community view. Available for immediate move-in. Near international schools.,Villa,Palm Jumeirah,25.12995,55.13025,6,4955,0,19,0,68750,Chen Wei,2026-06-03,active,0,1775
2470,Townhouse in Dubai Marina | Well Maintained,Balcony with community view. Available for immediate move-in. Near international schools.,Townhouse,Dubai Marina,25.09542,55.11806,4,2402,1,15,0,24500,Omar Farouk,2026-01-23,active,0,2072
1600,Chiller Free 2BR Apartment in Downtown Dubai,Close to metro station and community mall. Covered parking included.,2BR Apartment,Downtown Dubai,25.18349,55.26261,3,1116,0,20,38,13250,Omar Farouk,2026-08-04,active,0,1600
2396,Al Furjan 2BR Apartment - Negotiable Price,Pet friendly building. Near international schools. Balcony with community view.,2BR Apartment,Al Furjan,25.0076,55.1361,3,1405,0,2,41,7000,Michael Costa,2026-03-21,active,0,389
391,Stunning Townhouse | Arabian Ranches | Vacant Soon,Recently renovated kitchen and bathrooms. Available for immediate move-in.,Townhouse,Arabian Ranches,25.07285,55.2715,4,2105,0,13,0,15000,Hassan Ali,2026-04-12,active,0,391
2052,Best Deal! 2BR Apartment in Dubai Sports City,Built-in wardrobes throughout. Balcony with community view. Available for immediate move-in.,2BR Apartment,Dubai Sports City,25.04877,55.21256,3,1246,0,13,1,4500,Chen Wei,2026-02-28,active,0,2052
2578,URGENT SALE Exclusive Studio in Dubai Sports City | High Floor,"Near international schools. Landlord maintained, no agency fees. Available for immediate move-in. Close to metro station and community mall.",Studio,Dubai Sports City,25.0588,55.22692,0,473,1,2,16,1033,Fatima Al-Suwaidi,2026-01-13,active,1,2578
2278,Brand New Listing: Villa in Palm Jumeirah,Pet friendly building. Available for immediate move-in.,Villa,Palm Jumeirah,25.09033,55.14496,6,4400,1,21,0,62000,Fatima Al-Suwaidi,2026-03-15,active,0,475
1548,Exclusive 3BR Apartment in Jumeirah Village Circle | High Floor,"Landlord maintained, no agency fees. Shared pool and gym access. Balcony with community view. Close to metro station and community mall.",3BR Apartment,Jumeirah Village Circle,25.05895,55.21587,4,1948,1,16,9,8750,Noor Abdullah,2026-02-13,active,0,1548
1041,Chiller Free Studio in Jumeirah Village Circle,Shared pool and gym access. Recently renovated kitchen and bathrooms. Close to metro station and community mall. Available for immediate move-in.,Studio,Jumeirah Village Circle,25.04893,55.19905,0,506,0,9,2,2750,Omar Farouk,2026-01-22,active,0,1041
2547,Mirdif Studio - Negotiable Price,"Built-in wardrobes throughout. Shared pool and gym access. Landlord maintained, no agency fees.",Studio,Mirdif,25.23539,55.40173,0,499,0,21,35,2000,Fatima Al-Suwaidi,2026-06-23,active,0,55
2057,2BR Apartment with Full Amenities - Jumeirah Lake Towers,Available for immediate move-in. Shared pool and gym access.,2BR Apartment,Jumeirah Lake Towers,25.06958,55.16134,3,1154,0,12,25,8750,Layla Haddad,2026-07-29,active,0,2057
1804,Best Deal! 1BR Apartment in Downtown Dubai,Balcony with community view. Covered parking included. Pet friendly building.,1BR Apartment,Downtown Dubai,25.20591,55.25871,1,902,0,6,17,8500,Grace Okafor,2026-07-17,active,0,1804
1876,Exclusive 2BR Apartment in Discovery Gardens | High Floor,Covered parking included. Near international schools.,2BR Apartment,Discovery Gardens,25.06103,55.14276,3,1379,1,3,3,8250,Noor Abdullah,2026-04-26,active,0,1876
261,Exclusive Townhouse in Al Furjan | High Floor,Recently renovated kitchen and bathrooms. Balcony with community view.,Townhouse,Al Furjan,25.01558,55.13937,4,2093,0,4,0,12000,Noor Abdullah,2026-04-18,active,0,261
1758,Exclusive 3BR Apartment in Al Furjan | High Floor,"Landlord maintained, no agency fees. Built-in wardrobes throughout. Pet friendly building. Available for immediate move-in.",3BR Apartment,Al Furjan,25.04423,55.15709,4,1421,1,20,29,7500,Ravi Shankar,2026-04-04,active,0,1758
2464,Dubai Silicon Oasis Villa - Negotiable Price,Shared pool and gym access. Pet friendly building. Close to metro station and community mall. Near international schools.,Villa,Dubai Silicon Oasis,25.13264,55.3698,6,4364,0,8,0,18500,Omar Farouk,2026-05-31,active,0,1762
178,Stunning Townhouse | Jumeirah Lake Towers | Vacant Soon,"Landlord maintained, no agency fees. Built-in wardrobes throughout.",Townhouse,Jumeirah Lake Towers,25.08461,55.15228,3,2554,1,7,0,21250,Priya Nair,2026-08-05,active,0,178
921,1BR Apartment for Rent in Jumeirah Lake Towers - Prime Location,Shared pool and gym access. Close to metro station and community mall. Pet friendly building.,1BR Apartment,Jumeirah Lake Towers,25.053,55.1282,1,870,0,17,4,5750,Noor Abdullah,2026-04-12,active,0,921
373,Townhouse with Full Amenities - Jumeirah Village Circle,"Built-in wardrobes throughout. Landlord maintained, no agency fees. Balcony with community view. Shared pool and gym access.",Townhouse,Jumeirah Village Circle,25.05753,55.22073,3,2010,0,6,0,9000,Chen Wei,2026-08-05,active,0,373
488,Stunning Studio | Mirdif | Vacant Soon,"Recently renovated kitchen and bathrooms. Landlord maintained, no agency fees.",Studio,Mirdif,25.22402,55.44194,0,550,0,8,39,2500,Hassan Ali,2026-06-19,active,0,488
231,Exclusive Studio in Dubai Sports City | High Floor,"Near international schools. Balcony with community view. Landlord maintained, no agency fees. Built-in wardrobes throughout.",Studio,Dubai Sports City,25.06465,55.24107,0,452,0,14,25,1750,Chen Wei,2026-02-04,active,0,231
714,Exclusive Villa in Dubai Silicon Oasis | High Floor,Shared pool and gym access. Near international schools.,Villa,Dubai Silicon Oasis,25.09872,55.39871,4,3423,0,2,0,12250,Chen Wei,2026-07-19,active,0,714
1052,Stunning 1BR Apartment | Jumeirah Village Circle | Vacant Soon,"Built-in wardrobes throughout. Landlord maintained, no agency fees. Balcony with community view.",1BR Apartment,Jumeirah Village Circle,25.03639,55.2074,2,866,1,12,3,4250,Elena Popescu,2026-01-03,active,0,1052
2055,Villa with Full Amenities - Arabian Ranches,Shared pool and gym access. Balcony with community view. Near international schools. Close to metro station and community mall.,Villa,Arabian Ranches,25.04924,55.26703,6,3408,1,21,0,18500,Chen Wei,2026-01-23,active,0,2055
811,Best Deal! Townhouse in Downtown Dubai,Close to metro station and community mall. Available for immediate move-in. Recently renovated kitchen and bathrooms. Covered parking included.,Townhouse,Downtown Dubai,25.17942,55.25301,4,2159,0,22,0,24250,Priya Nair,2026-04-27,active,0,811
2509,Must See! Studio Available in Arabian Ranches,Pet friendly building. Close to metro station and community mall.,Studio,Arabian Ranches,25.05893,55.28599,0,468,1,15,42,4000,Priya Nair,2026-02-10,active,0,1415
385,Best Deal! Townhouse in Business Bay,"Near international schools. Close to metro station and community mall. Landlord maintained, no agency fees.",Townhouse,Business Bay,25.21201,55.2582,3,2106,1,13,0,14000,Sofia Marchetti,2026-08-06,active,0,385
2103,Villa with Full Amenities - Dubai Silicon Oasis,"Built-in wardrobes throughout. Balcony with community view. Landlord maintained, no agency fees. Close to metro station and community mall.",Villa,Dubai Silicon Oasis,25.10692,55.40446,6,4509,0,11,0,19750,Elena Popescu,2026-05-05,active,0,2103
936,Stunning 1BR Apartment | Palm Jumeirah | Vacant Soon,Shared pool and gym access. Built-in wardrobes throughout.,1BR Apartment,Palm Jumeirah,25.08814,55.13075,2,657,1,0,25,9500,Noor Abdullah,2026-03-25,active,0,936
285,Townhouse for Rent in Arabian Ranches - Prime Location,Shared pool and gym access. Near international schools.,Townhouse,Arabian Ranches,25.06552,55.2528,4,2514,1,1,0,19500,Sofia Marchetti,2026-05-28,active,0,285
1036,3BR Apartment for Rent in Dubai Silicon Oasis - Prime Location,Available for immediate move-in. Balcony with community view. Pet friendly building. Recently renovated kitchen and bathrooms.,3BR Apartment,Dubai Silicon Oasis,25.13864,55.39785,3,2007,0,6,27,7750,Anjali Menon,2026-01-30,active,0,1036
398,Stunning Villa | Palm Jumeirah | Vacant Soon,Balcony with community view. Built-in wardrobes throughout. Near international schools.,Villa,Palm Jumeirah,25.09733,55.13472,4,3332,0,21,0,36500,Chen Wei,2026-08-12,active,0,398
889,Stunning Studio | Dubai Sports City | Vacant Soon,Close to metro station and community mall. Pet friendly building. Covered parking included. Shared pool and gym access.,Studio,Dubai Sports City,25.04089,55.20934,0,403,0,19,35,1750,Sofia Marchetti,2026-03-12,active,0,889
970,3BR Apartment with Full Amenities - Al Furjan,"Recently renovated kitchen and bathrooms. Landlord maintained, no agency fees.",3BR Apartment,Al Furjan,25.01262,55.16319,4,1745,1,0,12,9500,Grace Okafor,2026-07-15,active,0,970
234,Best Deal! Townhouse in Discovery Gardens,"Pet friendly building. Landlord maintained, no agency fees. Built-in wardrobes throughout.",Townhouse,Discovery Gardens,25.04562,55.13468,3,2298,0,11,0,9000,Omar Farouk,2026-06-08,active,0,234
507,Stunning 3BR Apartment | Business Bay | Vacant Soon,Close to metro station and community mall. Shared pool and gym access. Pet friendly building.,3BR Apartment,Business Bay,25.1654,55.27996,3,1895,0,22,28,13250,Grace Okafor,2026-08-09,active,0,507
1919,Spacious Studio in Business Bay | Ready to Move,"Covered parking included. Landlord maintained, no agency fees.",Studio,Business Bay,25.18229,55.28332,0,452,1,19,9,3500,Hassan Ali,2026-04-12,active,0,1919
2451,"Hot Deal - 3BR Apartment in Al Furjan, Call Now","Landlord maintained, no agency fees. Covered parking included. Recently renovated kitchen and bathrooms.",3BR Apartment,Al Furjan,25.02923,55.13106,4,1999,1,0,36,11500,Layla Haddad,2026-07-03,active,0,399
2284,Studio in Jumeirah Village Circle | Well Maintained,Balcony with community view. Covered parking included. Built-in wardrobes throughout.,Studio,Jumeirah Village Circle,25.06586,55.23067,0,460,0,1,10,2500,Hassan Ali,2026-07-27,active,0,1215
1172,Spacious Villa in Dubai Sports City | Ready to Move,Pet friendly building. Near international schools. Recently renovated kitchen and bathrooms. Built-in wardrobes throughout.,Villa,Dubai Sports City,25.06648,55.20001,5,3914,1,6,0,16000,Omar Farouk,2026-06-14,active,0,1172
588,3BR Apartment for Rent in Palm Jumeirah - Prime Location,Recently renovated kitchen and bathrooms. Near international schools. Covered parking included. Available for immediate move-in.,3BR Apartment,Palm Jumeirah,25.12238,55.13423,4,1511,0,20,16,21000,Michael Costa,2026-03-10,active,0,588
606,Exclusive 3BR Apartment in Al Furjan | High Floor,"Close to metro station and community mall. Landlord maintained, no agency fees.",3BR Apartment,Al Furjan,25.041,55.13166,3,2020,0,18,33,10500,Daniel Reyes,2026-05-29,active,0,606
1283,Best Deal! Studio in Dubai Marina,Near international schools. Recently renovated kitchen and bathrooms.,Studio,Dubai Marina,25.06639,55.12121,0,454,1,20,30,4500,Fatima Al-Suwaidi,2026-07-22,active,0,1283
1339,"Upgraded 1BR Apartment in Dubai Sports City, Motivated Seller",Near international schools. Shared pool and gym access. Close to metro station and community mall. Covered parking included.,1BR Apartment,Dubai Sports City,25.06669,55.20458,2,694,1,16,6,3000,Hassan Ali,2026-04-03,active,0,1339
523,Spacious 1BR Apartment in Discovery Gardens | Ready to Move,Balcony with community view. Built-in wardrobes throughout.,1BR Apartment,Discovery Gardens,25.0398,55.15777,1,816,0,12,33,4250,Grace Okafor,2026-01-28,active,0,523
2222,Studio in Al Furjan | Well Maintained,"Shared pool and gym access. Close to metro station and community mall. Landlord maintained, no agency fees.",Studio,Al Furjan,25.03743,55.14633,0,456,1,17,30,3000,Daniel Reyes,2026-02-09,active,0,1438
1443,Townhouse with Full Amenities - Jumeirah Village Circle,Covered parking included. Shared pool and gym access. Close to metro station and community mall.,Townhouse,Jumeirah Village Circle,25.07061,55.20103,3,1877,0,7,0,11000,Chen Wei,2026-04-03,active,0,1443
1912,Best Deal! 1BR Apartment in Discovery Gardens,Pet friendly building. Close to metro station and community mall.,1BR Apartment,Discovery Gardens,25.03318,55.12477,2,852,0,15,42,4000,Elena Popescu,2026-04-17,active,0,1912
2202,Jumeirah Village Circle 1BR Apartment - Negotiable Price,Shared pool and gym access. Available for immediate move-in.,1BR Apartment,Jumeirah Village Circle,25.05224,55.21572,1,959,1,9,36,6500,Daniel Reyes,2026-09-03,active,0,517
708,2BR Apartment for Rent in Dubai Marina - Prime Location,Covered parking included. Balcony with community view.,2BR Apartment,Dubai Marina,25.07177,55.13928,3,1168,0,10,36,10750,Fatima Al-Suwaidi,2026-08-08,active,0,708
2592,URGENT SALE Exclusive 2BR Apartment in Jumeirah Lake Towers | High Floor,Near international schools. Balcony with community view. Shared pool and gym access.,2BR Apartment,Jumeirah Lake Towers,25.0504,55.14329,3,1008,1,10,25,2555,Fatima Al-Suwaidi,2026-07-20,active,1,2592
1989,Studio for Rent in Jumeirah Lake Towers - Prime Location,"Landlord maintained, no agency fees. Close to metro station and community mall.",Studio,Jumeirah Lake Towers,25.0763,55.11879,0,464,1,4,21,3250,Omar Farouk,2026-03-08,active,0,1989
1959,Spacious Villa in Mirdif | Ready to Move,"Pet friendly building. Landlord maintained, no agency fees. Balcony with community view. Close to metro station and community mall.",Villa,Mirdif,25.19379,55.42861,4,4992,0,22,0,23750,Fatima Al-Suwaidi,2026-05-01,active,0,1959
1079,Best Deal! Villa in Arabian Ranches,"Landlord maintained, no agency fees. Balcony with community view. Close to metro station and community mall. Available for immediate move-in.",Villa,Arabian Ranches,25.04438,55.26908,6,3673,0,4,0,21500,Michael Costa,2026-04-24,active,0,1079
718,"Upgraded 1BR Apartment in Jumeirah Village Circle, Motivated Seller","Covered parking included. Landlord maintained, no agency fees. Recently renovated kitchen and bathrooms.",1BR Apartment,Jumeirah Village Circle,25.07249,55.20229,2,909,0,16,8,4000,Chen Wei,2026-04-02,active,0,718
322,Villa with Full Amenities - Al Furjan,Built-in wardrobes throughout. Available for immediate move-in.,Villa,Al Furjan,25.04679,55.12374,6,4210,0,18,0,15500,Hassan Ali,2026-02-02,active,0,322
1456,1BR Apartment for Rent in Business Bay - Prime Location,"Built-in wardrobes throughout. Landlord maintained, no agency fees.",1BR Apartment,Business Bay,25.19332,55.26211,1,931,0,19,35,8250,Daniel Reyes,2026-07-26,active,0,1456
1904,Chiller Free 1BR Apartment in Discovery Gardens,Balcony with community view. Recently renovated kitchen and bathrooms. Covered parking included. Near international schools.,1BR Apartment,Discovery Gardens,25.02966,55.16703,2,942,0,15,38,3750,Sofia Marchetti,2026-05-20,active,0,1904
601,1BR Apartment for Rent in Business Bay - Prime Location,Covered parking included. Recently renovated kitchen and bathrooms.,1BR Apartment,Business Bay,25.18589,55.27974,2,729,1,9,1,6500,Omar Farouk,2026-08-14,active,0,601
137,"Upgraded 2BR Apartment in Arabian Ranches, Motivated Seller",Close to metro station and community mall. Near international schools. Shared pool and gym access.,2BR Apartment,Arabian Ranches,25.04559,55.24963,2,1002,1,5,28,7000,Ravi Shankar,2026-01-24,active,0,137
128,"Upgraded 1BR Apartment in Discovery Gardens, Motivated Seller","Pet friendly building. Landlord maintained, no agency fees. Available for immediate move-in.",1BR Apartment,Discovery Gardens,25.02321,55.15915,1,658,1,18,38,3500,Yusuf Karimi,2026-03-04,active,0,128
1242,Chiller Free Studio in Arabian Ranches,Pet friendly building. Balcony with community view. Near international schools. Covered parking included.,Studio,Arabian Ranches,25.05647,55.25174,0,461,1,6,9,2750,Yusuf Karimi,2026-08-06,active,0,1242
425,3BR Apartment for Rent in Al Furjan - Prime Location,Built-in wardrobes throughout. Shared pool and gym access. Balcony with community view.,3BR Apartment,Al Furjan,25.0201,55.14336,3,1869,0,16,24,10750,Omar Farouk,2026-05-13,active,0,425
1107,Stunning 2BR Apartment | Mirdif | Vacant Soon,Balcony with community view. Available for immediate move-in.,2BR Apartment,Mirdif,25.2066,55.39951,2,1057,1,5,15,5500,Fatima Al-Suwaidi,2026-02-25,active,0,1107
367,Chiller Free Studio in Dubai Marina,Recently renovated kitchen and bathrooms. Built-in wardrobes throughout. Close to metro station and community mall. Shared pool and gym access.,Studio,Dubai Marina,25.06848,55.14438,0,450,0,2,39,4750,Noor Abdullah,2026-06-10,active,0,367
1519,Chiller Free 3BR Apartment in Dubai Marina,Built-in wardrobes throughout. Shared pool and gym access.,3BR Apartment,Dubai Marina,25.07952,55.13322,4,1998,1,8,40,19250,Grace Okafor,2026-03-08,active,0,1519
2609,URGENT SALE Spacious Studio in Palm Jumeirah | Ready to Move,Close to metro station and community mall. Recently renovated kitchen and bathrooms. Pet friendly building.,Studio,Palm Jumeirah,25.12568,55.11562,0,545,0,0,9,3534,Sofia Marchetti,2026-06-03,active,1,2609
904,2BR Apartment with Full Amenities - Al Furjan,Near international schools. Balcony with community view. Close to metro station and community mall.,2BR Apartment,Al Furjan,25.01054,55.14469,2,1074,1,2,10,6250,Noor Abdullah,2026-06-21,active,0,904
1699,Stunning Townhouse | Palm Jumeirah | Vacant Soon,"Covered parking included. Landlord maintained, no agency fees.",Townhouse,Palm Jumeirah,25.10635,55.14008,4,2275,0,1,0,32750,Priya Nair,2026-08-26,active,0,1699
440,Stunning Studio | Al Furjan | Vacant Soon,"Landlord maintained, no agency fees. Shared pool and gym access. Pet friendly building.",Studio,Al Furjan,25.0026,55.15549,0,503,1,20,15,2750,Sofia Marchetti,2026-07-15,active,0,440
1215,Exclusive Studio in Jumeirah Village Circle | High Floor,Near international schools. Shared pool and gym access. Covered parking included. Recently renovated kitchen and bathrooms.,Studio,Jumeirah Village Circle,25.06589,55.23109,0,460,0,1,10,2250,Grace Okafor,2026-07-15,active,0,1215
1939,Chiller Free Townhouse in Downtown Dubai,"Covered parking included. Landlord maintained, no agency fees. Built-in wardrobes throughout.",Townhouse,Downtown Dubai,25.21436,55.2583,3,2289,0,1,0,23250,Chen Wei,2026-07-24,active,0,1939
839,"Upgraded Villa in Dubai Sports City, Motivated Seller","Balcony with community view. Landlord maintained, no agency fees. Available for immediate move-in. Recently renovated kitchen and bathrooms.",Villa,Dubai Sports City,25.05965,55.20907,4,3115,1,3,0,13750,Grace Okafor,2026-05-22,active,0,839
702,Exclusive Villa in Jumeirah Village Circle | High Floor,Near international schools. Pet friendly building. Balcony with community view. Available for immediate move-in.,Villa,Jumeirah Village Circle,25.05786,55.21001,6,4613,0,6,0,24750,Fatima Al-Suwaidi,2026-01-01,active,0,702
612,Townhouse for Rent in Jumeirah Village Circle - Prime Location,"Pet friendly building. Near international schools. Close to metro station and community mall. Landlord maintained, no agency fees.",Townhouse,Jumeirah Village Circle,25.0494,55.19734,4,2389,1,16,0,14000,Elena Popescu,2026-06-28,active,0,612
343,Spacious 1BR Apartment in Jumeirah Village Circle | Ready to Move,Balcony with community view. Built-in wardrobes throughout. Recently renovated kitchen and bathrooms. Close to metro station and community mall.,1BR Apartment,Jumeirah Village Circle,25.04619,55.22218,1,868,1,21,26,4250,Michael Costa,2026-07-23,active,0,343
68,Exclusive Townhouse in Business Bay | High Floor,Close to metro station and community mall. Near international schools. Available for immediate move-in. Balcony with community view.,Townhouse,Business Bay,25.16738,55.26347,3,1861,0,17,0,13500,Noor Abdullah,2026-08-12,active,0,68
226,Best Deal! 2BR Apartment in Discovery Gardens,"Built-in wardrobes throughout. Landlord maintained, no agency fees. Available for immediate move-in. Balcony with community view.",2BR Apartment,Discovery Gardens,25.02572,55.15703,3,1219,1,5,34,5500,Elena Popescu,2026-02-26,active,0,226
1228,Townhouse with Full Amenities - Downtown Dubai,Shared pool and gym access. Near international schools.,Townhouse,Downtown Dubai,25.19697,55.25327,4,1983,1,5,0,25500,Omar Farouk,2026-01-04,active,0,1228
1756,Spacious Townhouse in Mirdif | Ready to Move,Recently renovated kitchen and bathrooms. Covered parking included. Pet friendly building. Close to metro station and community mall.,Townhouse,Mirdif,25.23516,55.4149,3,2408,1,1,0,10750,Ravi Shankar,2026-03-04,active,0,1756
667,Stunning Villa | Jumeirah Lake Towers | Vacant Soon,"Landlord maintained, no agency fees. Shared pool and gym access.",Villa,Jumeirah Lake Towers,25.05209,55.14584,6,4600,1,15,0,31500,Noor Abdullah,2026-08-01,active,0,667
352,Best Deal! 3BR Apartment in Palm Jumeirah,Built-in wardrobes throughout. Near international schools.,3BR Apartment,Palm Jumeirah,25.09935,55.16395,3,1890,0,22,7,22000,Anjali Menon,2026-07-07,active,0,352
603,1BR Apartment with Full Amenities - Downtown Dubai,Shared pool and gym access. Recently renovated kitchen and bathrooms. Pet friendly building.,1BR Apartment,Downtown Dubai,25.19304,55.27064,1,911,0,17,13,9750,Daniel Reyes,2026-05-07,active,0,603
1398,Stunning Studio | Arabian Ranches | Vacant Soon,Available for immediate move-in. Balcony with community view.,Studio,Arabian Ranches,25.07238,55.24578,0,409,0,11,2,2750,Yusuf Karimi,2026-07-19,active,0,1398
